ID                         Name   Partition   Nodes   Cores   Decl._mem   Mem._%_usage    Eff.    CPU._used   Wall._Used   Wall._Req.              End_Time
--                         ----   ---------   -----   -----   ---------   ------------    ----    ---------   ----------   ----------              --------
15402315_8       blender_flower      plgrid       1       4      4.0GiB           5.5%   94.9%     00:06:52     00:01:43     00:30:00   2025-03-26 15:06:24
15402315_2       blender_flower      plgrid       1       4      4.0GiB           5.6%   93.8%     00:07:00     00:01:45     00:30:00   2025-03-26 15:06:26
15402315_3       blender_flower      plgrid       1       4      4.0GiB           5.6%   94.1%     00:07:04     00:01:46     00:30:00   2025-03-26 15:06:27
15402315_7       blender_flower      plgrid       1       4      4.0GiB           5.4%   94.4%     00:07:08     00:01:47     00:30:00   2025-03-26 15:06:28
15402315_5       blender_flower      plgrid       1       4      4.0GiB           5.6%   94.2%     00:07:12     00:01:48     00:30:00   2025-03-26 15:06:29
15402315_4       blender_flower      plgrid       1       4      4.0GiB           5.6%   94.3%     00:07:16     00:01:49     00:30:00   2025-03-26 15:06:30
15402315_11      blender_flower      plgrid       1       4      4.0GiB           5.6%   94.4%     00:07:16     00:01:49     00:30:00   2025-03-26 15:06:30
15402315_9       blender_flower      plgrid       1       4      4.0GiB           5.5%   96.5%     00:07:20     00:01:50     00:30:00   2025-03-26 15:06:31
15402315_6       blender_flower      plgrid       1       4      4.0GiB           5.5%   96.0%     00:07:24     00:01:51     00:30:00   2025-03-26 15:06:32
15402315_1       blender_flower      plgrid       1       4      4.0GiB           5.5%   95.8%     00:07:28     00:01:52     00:30:00   2025-03-26 15:06:33
15402315_12      blender_flower      plgrid       1       4      4.0GiB           5.5%   93.6%     00:07:36     00:01:54     00:30:00   2025-03-26 15:06:35
15402315_10      blender_flower      plgrid       1       4      4.0GiB           5.6%   94.9%     00:07:44     00:01:56     00:30:00   2025-03-26 15:06:37
15402315_13      blender_flower      plgrid       1       4      4.0GiB           5.5%   93.1%     00:07:44     00:01:56     00:30:00   2025-03-26 15:06:37
15402315_14      blender_flower      plgrid       1       4      4.0GiB           5.6%   93.3%     00:07:44     00:01:56     00:30:00   2025-03-26 15:06:37
15402315_16      blender_flower      plgrid       1       4      4.0GiB           5.5%   93.6%     00:07:48     00:01:57     00:30:00   2025-03-26 15:06:38
15402315_15      blender_flower      plgrid       1       4      4.0GiB           5.5%   94.1%     00:08:00     00:02:00     00:30:00   2025-03-26 15:06:41
15402315_19      blender_flower      plgrid       1       4      4.0GiB           5.6%   93.5%     00:08:00     00:02:00     00:30:00   2025-03-26 15:06:41
15402315_17      blender_flower      plgrid       1       4      4.0GiB           9.0%   93.6%     00:08:12     00:02:03     00:30:00   2025-03-26 15:06:44
15402315_18      blender_flower      plgrid       1       4      4.0GiB           5.5%   94.3%     00:08:28     00:02:07     00:30:00   2025-03-26 15:06:48
15402315_20      blender_flower      plgrid       1       4      4.0GiB           5.5%   94.0%     00:08:44     00:02:11     00:30:00   2025-03-26 15:06:52
15402315_22      blender_flower      plgrid       1       4      4.0GiB           5.6%   94.2%     00:08:52     00:02:13     00:30:00   2025-03-26 15:06:54
15402315_21      blender_flower      plgrid       1       4      4.0GiB           5.5%   94.8%     00:09:12     00:02:18     00:30:00   2025-03-26 15:06:59
15402315_24      blender_flower      plgrid       1       4      4.0GiB           5.6%   95.2%     00:09:52     00:02:28     00:30:00   2025-03-26 15:07:09
15402315_23      blender_flower      plgrid       1       4      4.0GiB           5.6%   96.1%     00:10:12     00:02:33     00:30:00   2025-03-26 15:07:14
